FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Careers,807404,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,878439,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,883385,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,766681,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,809760,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,820804,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,824448,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,925385,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,601321,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,764856,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,598934,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,831153,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,855885,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,569093,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,855164,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,690740,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,600784,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,843630,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,807524,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,760964,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,852685,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,471800,Ambizione,Ambizione,Ambizione,Ambizione,Other
Careers,842376,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,918918,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,796953,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
