FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Science communication,2088,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1682,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,2088,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1536,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1102,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1680,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1466,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Science communication,1182,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Book Chapter,Other
Programmes,1000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4998,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Other
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4980,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,1750,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,2000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4950,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4100,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Other
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,3363,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4900,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4990,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4890,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4860,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4840,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4951,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4860,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,2905,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4960,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4400,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,1950,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,600,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4500,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,2500,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4860,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Other
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4975,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4730,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,2800,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,4000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,2700,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,1720,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,University of Teacher Education
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant,Cantonal university
Programmes,260285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,229763,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,228963,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,227276,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,239412,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254343,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,252082,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,242892,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,256972,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,305291,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,250214,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,253243,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,249846,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,270412,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,250952,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,231837,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Other
Programmes,228462,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,222688,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,285000,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,266310,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Other
Programmes,236449,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,215021,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,274425,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,250052,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,232984,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,256214,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,249285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,282300,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Other
Programmes,254293,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,242918,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,231952,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,249285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,253829,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,242547,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,213492,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,236392,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,251846,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,241081,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,256742,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,256424,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,215021,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,211450,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,260285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,249972,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,240152,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,237900,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,227870,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,243763,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,148487,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,219650,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,256798,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,243052,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,239672,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,251846,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,232452,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,210454,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,230552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,268884,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,230552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,254082,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,250241,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,266013,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,276926,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,254214,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,221075,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,246519,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,254552,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,253472,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,144393,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,247846,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,243764,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,256614,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Other
Programmes,215021,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,239285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,222972,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,240456,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,253352,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,260285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,260285,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Programmes,251846,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,291960,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,284100,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,ETH Domain
Programmes,234052,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,Horizon Europe Transitional Measures,SNSF Swiss Postdoctoral Fellowships,Cantonal university
Science communication,1922,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Article,Other
Programmes,385222,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,259060,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,354170,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,281953,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,251463,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,323264,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,ETH Domain
Programmes,119193,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,279247,ERA-NET,ERA-NET,ERA-NET,ERA-NET NEURON,Cantonal university
Programmes,449929,Implementation Networks,Implementierungsnetzwerke,Réseaux d’implémentation,Implementation Networks,Other
Programmes,388582,Implementation Networks,Implementierungsnetzwerke,Réseaux d’implémentation,Implementation Networks,Cantonal university
Programmes,450000,Implementation Networks,Implementierungsnetzwerke,Réseaux d’implémentation,Implementation Networks,Other
Programmes,449960,Implementation Networks,Implementierungsnetzwerke,Réseaux d’implémentation,Implementation Networks,Cantonal university
Projects,862744,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,505782,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,632719,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,472280,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,1010261,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,497921,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,477948,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,760467,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,973727,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,571564,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,398632,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,245824,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,1000000,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,553612,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,349086,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
Projects,186685,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Health Research and Wellbeing at UAS and UTE,University of applied sciences
